shRNA_ID,Mean_CV,Median_CV,IQR_CV,Max_CV
NT_02,0.029383727178297556,0.030146856524317776,0.02078369709776058,0.054954318384972195
NT_07,0.03670586306087687,0.03341007134781815,0.027639832485312543,0.07783811394856047
NT_100,0.024177543350469424,0.020822725843016133,0.016129428107808402,0.05544071955084199
NT_107,0.02026825475103468,0.018851650414369113,0.0198897701082442,0.044600161766447266
NT_108,0.029118144296625105,0.0273797547764271,0.01956613394296957,0.06219442589123258
NT_119,0.039643903559872636,0.03433093489640011,0.023501576119468813,0.09011946503778658
NT_123,0.0260772098068401,0.02760016046678977,0.0179823866973661,0.06153395116381649
NT_128,0.03878603405179139,0.03574814050157811,0.020386617186684622,0.08144521074131761
NT_130,0.03543007501603672,0.032866603833698924,0.033258982376539806,0.06797204861226226
NT_138,0.03554003493125287,0.038685994668086435,0.013544089990626878,0.059807603773925765
NT_142,0.026985212526876558,0.022821394426454793,0.01489852421297919,0.056189876844090623
NT_149,0.03463214605544816,0.03396329439369714,0.021475296518228323,0.07464731022856544
NT_15,0.029808579498769753,0.027832018924140244,0.03176008761088095,0.05803538611048655
NT_150,0.031849367133433566,0.02636460252212236,0.02439303191163405,0.06027572132392373
NT_153,0.02855887251776826,0.023163510383383632,0.01930622169667947,0.06453855724194796
NT_16,0.0345966142849489,0.03375086019773577,0.018477457275153826,0.06310160193697402
NT_161,0.03449152066496528,0.030762463739857245,0.021791164166019818,0.07176242485341819
NT_162,0.0335991020882724,0.03751878863166327,0.021397509375509063,0.07070474787584023
NT_164,0.028900657479294056,0.02756682959392782,0.01840968900636255,0.06946978678087232
NT_175,0.03541784833377423,0.03775801140054739,0.032803507876571526,0.07518269361090435
NT_180,0.027773282144638353,0.025270422503252087,0.021712854395153337,0.06262153341609585
NT_181,0.03490995943721191,0.03548180416298629,0.024348700254960658,0.0944935156689529
NT_185,0.027846304403317403,0.025020533818147304,0.004771585949929498,0.049739857772701845
NT_189,0.030886204330425337,0.029416742925512093,0.016406763780441598,0.05475746504339303
NT_190,0.03947309922990884,0.042765668775351484,0.02129985735928039,0.09080735590508227
NT_192,0.0380545850293074,0.035747003666708264,0.02569365234840626,0.09560884021333013
NT_195,0.02486446707620038,0.0211894546876615,0.01854539048998482,0.05163097423280337
NT_196,0.02587150364787496,0.0232460933272616,0.01767321289419734,0.056186693568043046
NT_198,0.03356441527095199,0.0320522018127056,0.020271071180786963,0.06041052896336301
NT_199,0.03262554675150179,0.02780139294124142,0.02754325973933061,0.08102553586126095
NT_200,0.03311883921320549,0.03655433579139671,0.025351212595758652,0.07707583149465679
NT_26,0.02543808031393314,0.02077861993246865,0.026767438170189853,0.06214941629617042
NT_35,0.039008481070625656,0.03637583823502031,0.03005669965906596,0.07690315092959649
NT_39,0.028226329934271533,0.0227037808418138,0.0221080651662672,0.0648235953464142
NT_57,0.03830004519663379,0.04515609494678611,0.018737890017940628,0.0719597798314031
NT_61,0.03745334340683325,0.03773109088733663,0.019360215517292237,0.07395280853955633
NT_62,0.023910292180555716,0.021959619487525346,0.017280712175056827,0.0547316207662409
NT_69,0.032306626508853735,0.029850498964155547,0.019679731559520672,0.05069656527055411
NT_72,0.033302461688445605,0.038066000147969875,0.029134895353670292,0.08599880170988652
NT_77,0.02784646252700161,0.027043453729476023,0.02495599160817305,0.05668578389257534
NT_87,0.029165874890305987,0.030047116304165525,0.028225817633271748,0.06262971634481451
NT_88,0.03628726340551041,0.03672130066446341,0.033784374966679076,0.08381588842869006
NT_94,0.030769149812785678,0.02863558026290024,0.029478460657134414,0.07522636572689495
NT_98,0.03704343999037404,0.03324623887306566,0.030081064013480745,0.0979283229869491
