Target_Gene,Timepoint,Dosage,RTN_A_median,RTN_A_CI_lower,RTN_A_CI_upper,RTN_B_median,RTN_B_CI_lower,RTN_B_CI_upper,Predictive_Effect_median,Predictive_Effect_CI_lower,Predictive_Effect_CI_upper
Arid1b,T7,0.6nM,0.005268613563903255,0.005116189624302221,0.005506940141240205,0.005308053708564676,0.005067833980263733,0.00545534904827418,-0.011179011970031067,-0.0636046895880891,0.038194223281434264
Arid1b,T7,3.5nM,0.005290958118771427,0.005059022959259547,0.005461432073148373,0.005308053708564676,0.005067833980263733,0.00545534904827418,0.007193855875134507,-0.03681426831308607,0.04329611849303084
Ascl1,T10,0.6nM,0.005367583317049397,0.004926485395848706,0.0056992397529395935,0.005492260948601789,0.005176601004716653,0.005823434197056772,-0.009037482606098324,-0.09093188694265716,0.02921902687569617
Ascl1,T10,3.5nM,0.005485367843829693,0.005013236935920857,0.00591414975078637,0.005492260948601789,0.005176601004716653,0.005748609163552592,-0.019300261471457657,-0.06671076623549481,0.07523932787000281
Ascl1,T13,0.6nM,0.005707464362100428,0.005127053034637528,0.005940443882745612,0.005599733417656934,0.005073347917333876,0.005761364652029846,0.03522939709816197,-0.06355356002677773,0.07378919971383051
Ascl1,T13,3.5nM,0.00551083586785275,0.005059505574211207,0.005871880338154873,0.005599733417656934,0.005073347917333876,0.005761364652029846,0.0036918796524938857,-0.06020196374064957,0.1323525098944101
Ascl1,T7,0.6nM,0.005429382231991639,0.005083053697160804,0.00583635977440179,0.0053552764644787644,0.004978507651598296,0.005672047942437858,0.04343418078107647,-0.024568263604799308,0.09630781161783594
Ascl1,T7,3.5nM,0.005282576881781336,0.004897825970117652,0.005593195998294828,0.0053552764644787644,0.004978507651598296,0.005745085565455203,0.012703458737053853,-0.08902327653375058,0.07247186759594614
Atm,T10,0.6nM,0.004877046029193888,0.004594943027923486,0.005395460097835614,0.005176463711909787,0.004787239068333605,0.005388192520570837,-0.059944154267779645,-0.13544978751143094,0.07919140258070932
Atm,T10,3.5nM,0.005102665761229771,0.004835407495435575,0.005456058884646308,0.005176463711909787,0.004787239068333605,0.005379631874708469,0.022385532032739904,-0.06907374222927641,0.08011869765376245
Atm,T13,0.6nM,0.005170829695419953,0.004682229161098229,0.005711534466581009,0.004982319649479093,0.004697213095898252,0.005678143567914158,0.0027216870681663315,-0.05131892484499224,0.1355144839824493
Atm,T13,3.5nM,0.0050612010337697175,0.0047846063266163965,0.005423339236658785,0.004982319649479093,0.004697213095898252,0.005678143567914158,0.020979605621039475,-0.07230324516140972,0.12257877390956076
Atm,T7,0.6nM,0.005199029829138854,0.004995645945469926,0.005457371335007295,0.005105858174546893,0.004946723100030043,0.0053446552953407556,0.021840604514978636,0.004484585353879501,0.0751214915151546
Atm,T7,3.5nM,0.0051521424848130475,0.004883388941323608,0.005591739535155229,0.005105858174546893,0.004922279424612633,0.00532187761380622,0.0056610861831818855,-0.018408610027041788,0.09550306597449774
Atr,T10,0.6nM,0.0050418675054570644,0.0046059512849509696,0.005800333868678252,0.005039547493523694,0.004772368788483992,0.005612887168140515,0.01706178652554168,-0.08907927136856204,0.07417761552300366
Atr,T10,3.5nM,0.0052659021795906655,0.004780195123423918,0.005573178472495892,0.005039547493523694,0.004772368788483992,0.005612887168140515,0.03365427667036176,-0.05029743660614183,0.09945775855658151
Atr,T13,0.6nM,0.004996330763248258,0.004735500684169956,0.005605131884342519,0.0049279781711917044,0.0046136397323466045,0.0053648558639055365,0.07648451419638352,-0.033607765020820024,0.10689996569036232
Atr,T13,3.5nM,0.0051097963522914285,0.004836478825204959,0.005605075371398255,0.0049279781711917044,0.00461557284287407,0.0053648558639055365,0.0811216850002507,0.044372328105269046,0.11572130231462535
Atr,T7,0.6nM,0.005445829333430689,0.004923684199289783,0.005674484745643486,0.005235678266988793,0.0048493448203018995,0.005691617849866356,0.02985659438462496,0.003973128853679412,0.11070015580829169
Atr,T7,3.5nM,0.005155108575008636,0.0047868703963517036,0.00555512310739152,0.005235678266988793,0.0048493448203018995,0.005691617849866356,-0.01775271199938786,-0.08880053974655511,0.060673413660733345
Aurka,T10,0.6nM,0.005311413872329772,0.004863455345844079,0.005683908646466445,0.0049946772096604725,0.0048914063479409695,0.00556541273055948,0.006790862807441096,-0.05996080416600646,0.12184424427594813
Aurka,T10,3.5nM,0.005418428280210438,0.004831487764690799,0.005710173665701122,0.0049946772096604725,0.004899379029761456,0.005504631255134304,0.048077525259525994,-0.03455549944214862,0.08590356741483206
Aurka,T13,0.6nM,0.005534434494499818,0.004793140637312496,0.005706830822080331,0.005189939718176351,0.0048343105690937934,0.0056373081164612995,0.035420937150821535,-0.07190702704810267,0.10287589872276674
Aurka,T13,3.5nM,0.005412158746330482,0.004792768233101414,0.005758688878935096,0.005189939718176351,0.0048343105690937934,0.005551042127003809,-0.030986599401097766,-0.0921989772280647,0.10809874458569328
Aurka,T7,0.6nM,0.005173332373409877,0.004962247915706866,0.005490223344152689,0.005347947081544268,0.004993164687597497,0.005611633668089354,-0.025625810897550085,-0.06077446149956154,0.0038865204674779306
Aurka,T7,3.5nM,0.005123646997908269,0.004902055403465199,0.005722298208233746,0.005347947081544268,0.0050396916073321045,0.005610985127284492,-0.023054236337427574,-0.11525168024582878,0.025215102978893362
Aurkb,T10,0.6nM,0.005283189398593126,0.004229086670938423,0.005688837457644571,0.005185031275962844,0.004465918497366049,0.005668107306320681,-0.006498560860562025,-0.06032252879069747,0.08877822425249257
Aurkb,T10,3.5nM,0.005231749810128129,0.004449604443585244,0.005580000701290616,0.005185031275962844,0.004465918497366049,0.005668107306320681,-0.00418162013621322,-0.047018367129020355,0.09266993564683317
Aurkb,T13,0.6nM,0.005083322344898324,0.004106442739637737,0.005618274307259238,0.005150433816224955,0.004146715817425834,0.00540244534688887,0.0633010330535848,-0.07032638933278802,0.11809592352553432
Aurkb,T13,3.5nM,0.005119937087002393,0.004518598597345208,0.005640018367583949,0.005150433816224955,0.004148404546017542,0.00540244534688887,0.07604753285328378,-0.023224150317083008,0.18325042484303206
Aurkb,T7,0.6nM,0.0052948361599748795,0.005031668396087378,0.005482457144215818,0.005265362638544438,0.004833317949497849,0.005671123524833229,0.021427929133082016,-0.014966631600185956,0.048407492028854276
Aurkb,T7,3.5nM,0.005445900596186743,0.004758581016369905,0.005690914295694756,0.005265362638544438,0.004833317949497849,0.005594160798764122,0.013631540170306225,-0.0160717640616721,0.07949793463460023
Axin1,T10,0.6nM,0.005482881917170316,0.004980155684579878,0.0058408761142908295,0.0053810034553579324,0.004777809963766785,0.005781525106797497,0.01766217320586801,-0.030806854623629976,0.07799130591837228
Axin1,T10,3.5nM,0.0052409469006167424,0.004924621064009481,0.0064655278298547305,0.0053810034553579324,0.004906821035251464,0.0058722379194689036,0.02301126170156594,-0.05646940221637461,0.0828390290504697
Axin1,T13,0.6nM,0.005668517237949319,0.0050294531883562235,0.0059941814838847295,0.005417854983476205,0.0049529136285285345,0.005960342593321739,-0.0005796618033290547,-0.026254156662972265,0.07342643820341441
Axin1,T13,3.5nM,0.005358343132489361,0.004673530323910851,0.006297267244046349,0.005417854983476205,0.004840611947501747,0.005907769748146194,0.005985486561780395,-0.14904812057723926,0.04516446644946015
Axin1,T7,0.6nM,0.005271611267475601,0.00500850560606816,0.005915754280520494,0.0054439908218367195,0.004920164548165469,0.0057297589077137485,0.02528765334662622,-0.06857416747036824,0.04608769356673509
Axin1,T7,3.5nM,0.0054461289422623235,0.005153290941435758,0.0061119727218772995,0.0054439908218367195,0.004978952018323068,0.0057297589077137485,0.03039608624898683,-0.02506827399029371,0.07556568101390149
Axl,T10,0.6nM,0.0054217300526923345,0.005189049307895372,0.005851819229618005,0.005537709469614387,0.004998667678117337,0.005803669574513426,0.001732067418979008,-0.08305234849938337,0.0355978574361119
Axl,T10,3.5nM,0.005496918655474501,0.004964278091116155,0.005804942909177184,0.005537709469614387,0.0049878111428643904,0.005897531684368228,-0.00589463662712163,-0.10344340746736405,0.01441764866318683
Axl,T13,0.6nM,0.005447035372174761,0.005062636487162951,0.005850186063056849,0.00543802221322055,0.005195668943919785,0.005820785980386385,-0.004321194753171637,-0.08012057908515823,0.04678779368783544
Axl,T13,3.5nM,0.005661914354326699,0.005094301971801318,0.005896649561929921,0.00543802221322055,0.005147859505090326,0.005820785980386385,0.03245847455005597,-0.10808971628501428,0.12491794605491406
Axl,T7,0.6nM,0.005446598582951586,0.005306742381424257,0.005581348502000863,0.005325114158526232,0.005209991451008428,0.005679408086192791,0.039181928657715456,-0.011843240924812497,0.06762607302886009
Axl,T7,3.5nM,0.005415412853735067,0.005136274029906049,0.005832117219376325,0.005325114158526232,0.005209991451008428,0.005679408086192791,0.029565040394401422,-0.0340478772891282,0.13097125064802267
B2m,T10,0.6nM,0.005663192206011171,0.005220549138215317,0.006137929170798965,0.005722822695932491,0.005510682125149104,0.006020228183049184,-0.04306035913955637,-0.11091490045555952,0.02970892673420808
B2m,T10,3.5nM,0.005513390614544555,0.0051133895475640985,0.005994499315308069,0.005722822695932491,0.005443718632390017,0.0060717843892856005,-0.09934375650509894,-0.14596381209710857,0.016581628387613907
B2m,T13,0.6nM,0.005511175711956433,0.005354351910758309,0.005611856525987416,0.005478830089342642,0.004946870593155721,0.005834034210022736,-0.0196534987410355,-0.06902223903109249,0.07254360886858482
B2m,T13,3.5nM,0.005598389302054941,0.005124063663223478,0.006009653531775076,0.005478830089342642,0.004946870593155721,0.00579911822826203,0.04688252141931966,-0.07812369613802277,0.08285085509085757
B2m,T7,0.6nM,0.005610834512637882,0.005088674586366433,0.0059381433708127615,0.0057169675770690955,0.0053322808448214324,0.005841227189467543,0.009942735959586998,-0.14485723510653872,0.05799371647773442
B2m,T7,3.5nM,0.00565652321891138,0.005102283179936077,0.005972683280772837,0.0057169675770690955,0.005279025838124729,0.005830916981727829,-0.025676614798612482,-0.08066774765225912,0.05949163064716242
Bcl2,T10,0.6nM,0.00536239120700345,0.005148366365104439,0.005542071055673718,0.0057292051002173555,0.005519583475392111,0.005940186783760879,-0.08606744859512813,-0.10912405332324648,-0.04883594254436103
Bcl2,T10,3.5nM,0.005673468789632629,0.005462912624462262,0.006092476398100328,0.0057292051002173555,0.005519583475392111,0.005939805726369856,0.021848816882402144,-0.05423050571634034,0.11590898167544689
Bcl2,T13,0.6nM,0.005636378764763571,0.0052868463990154175,0.005935754450420699,0.005897475506741165,0.005465974621659618,0.005993798953047981,-0.059555590282241444,-0.11909310977725196,0.04227546612291991
Bcl2,T13,3.5nM,0.005722393104117992,0.005589008785663085,0.006042612576947375,0.005897475506741165,0.005465974621659618,0.005993798953047981,0.008083310821537187,-0.06400935051339873,0.1364452771226432
Bcl2,T7,0.6nM,0.005458008493134152,0.005220783132417862,0.005747409182712014,0.0055085886862107376,0.005291470510111306,0.005713478521106298,-0.019346599796207835,-0.0338300716616568,0.024302916906827184
Bcl2,T7,3.5nM,0.00548893320797292,0.005227697247133305,0.005884856190774536,0.0055085886862107376,0.005286997308900302,0.005713478521106298,0.010215117247731472,-0.04554388562924663,0.05093261594181257
Braf,T10,0.6nM,0.005498889552239277,0.004793403437804868,0.005711639966662314,0.005597104571438147,0.004778437813784563,0.005713176604260513,-0.03412951922658734,-0.10792199883718301,0.052142816219747964
Braf,T10,3.5nM,0.0053808530945784515,0.004963500574213892,0.00584254082754248,0.005597104571438147,0.004778437813784563,0.00574134364414048,-0.007565871366763405,-0.06396569802986504,0.06479858353973685
Braf,T13,0.6nM,0.005458916625481432,0.004743832922130458,0.0057842343571625895,0.0054352291985207924,0.00472058763705959,0.005789891906347185,-0.014010897418266855,-0.15714272449408473,0.11178086902969375
Braf,T13,3.5nM,0.005347265361872404,0.004799344880210152,0.005848754294162924,0.0054352291985207924,0.00472058763705959,0.005789891906347185,0.0139598068220015,-0.07469016522100555,0.09527151650969642
Braf,T7,0.6nM,0.005356421628406628,0.00496393572897642,0.0056400427088498396,0.00533420679648414,0.005034493033420298,0.0056094340625417105,-0.008831619882383318,-0.04945994849750768,0.021533280297916384
Braf,T7,3.5nM,0.005227523810991582,0.004963135677149167,0.005588039537563353,0.00533420679648414,0.005034493033420298,0.0056094340625417105,-0.029363951774307666,-0.06261457218500058,0.006857653306837139
Brca1,T10,0.6nM,0.0051664887708094374,0.00460453561298012,0.005694715922496967,0.005091897700301366,0.004515366886179936,0.005723984884944416,0.001176543365214014,-0.16479881566474014,0.05405261581002317
Brca1,T10,3.5nM,0.005241205448420074,0.005000067059707477,0.0055186281555912944,0.005091897700301366,0.004466169653585777,0.005723984884944416,0.06162211622788271,-0.14961450528495235,0.10588196049341833
Brca1,T13,0.6nM,0.0050066808591837705,0.004282877042481781,0.005703273058628181,0.005415292888858101,0.004596975331765685,0.005549461773432626,0.015439876561518266,-0.125928503535985,0.09785177594856331
Brca1,T13,3.5nM,0.0050042083878475176,0.004674968515867911,0.005643907669537259,0.005415292888858101,0.004580632612358743,0.005549461773432626,-0.02550103171546867,-0.13488136175533894,0.044565807104436896
Brca1,T7,0.6nM,0.00532496290915805,0.004904828339124524,0.005648273588823282,0.005059294039619537,0.004780709560456982,0.005735345753514779,0.021141289100099492,-0.0472045571771689,0.06971609709142347
Brca1,T7,3.5nM,0.005331265348451627,0.004714374109257251,0.00560579532254512,0.005059294039619537,0.00479452458301036,0.005735345753514779,-0.018676907826448062,-0.045433976097499884,0.09594276066652868
Brca2,T10,0.6nM,0.005249626300133576,0.004645419148624806,0.005560965159965102,0.005158625537444264,0.0045576235900592465,0.005473313432364356,0.030538098946870085,-0.02752032467177817,0.08717438756076905
Brca2,T10,3.5nM,0.0050943180709334505,0.004836926823948488,0.00555602284958589,0.005158625537444264,0.0045576235900592465,0.005567355833274606,0.05502492652689119,-0.07372497107309212,0.13004517289047884
Brca2,T13,0.6nM,0.005268281016430811,0.004885383402265022,0.005606167723452446,0.0052226970238547395,0.004501913329410776,0.005485351037147693,0.05596185652392577,0.003320266104616328,0.09867518863491355
Brca2,T13,3.5nM,0.0054269391415375815,0.004706080879256757,0.0056391354204153275,0.0052226970238547395,0.004697569275952285,0.005614590209908555,0.047445490185356515,-0.03659327556746176,0.13232526729577465
Brca2,T7,0.6nM,0.005164911126505451,0.004902288221791033,0.005434693954000707,0.00510588306455914,0.004985973924927258,0.005601827398425463,0.03693153229257917,-0.10310962466218694,0.06712364880934768
Brca2,T7,3.5nM,0.00519233346091395,0.004914462008400111,0.00546237321421297,0.00510588306455914,0.004986458218129756,0.0055627749201680446,-0.011668104713798286,-0.05463958795432738,0.09409780517665346
Brd2,T10,0.6nM,0.005152918632680316,0.0047367747620372545,0.005253289924137512,0.005123597644500426,0.0049943312394314055,0.005492575333748219,-0.011689239766094149,-0.07548897597655752,0.02174203199900554
Brd2,T10,3.5nM,0.005146717257745483,0.004931856415171734,0.005509705941468561,0.005123597644500426,0.004970572274412192,0.005546795014867854,-0.005303180451476495,-0.08344408716882966,0.05499105913770674
Brd2,T13,0.6nM,0.005061624818501467,0.004685955451422894,0.005245998204237097,0.005184447218592047,0.0048873806432233775,0.005452293141405721,-0.02450608978908446,-0.14843904236320993,0.05663517794983251
Brd2,T13,3.5nM,0.0052850312430063355,0.004626472690549486,0.005649869075296814,0.005184447218592047,0.0048873806432233775,0.005452293141405721,0.06236828762045467,-0.08242799107213797,0.15651594476428346
Brd2,T7,0.6nM,0.005341257169365316,0.005053198461836718,0.005521231955127213,0.005297623658417287,0.005080525141225088,0.0054789623634402505,-0.004568075149610297,-0.07698988201844877,0.06448157836403887
Brd2,T7,3.5nM,0.005308475102564337,0.005000179166983022,0.005623012509404779,0.005297623658417287,0.00512219171571269,0.0054789623634402505,-0.005310522041892005,-0.07571756962764573,0.05161364637056218
Brd4,T10,0.6nM,0.0047874474152073045,0.004541292695069378,0.005725319346879703,0.004383425457170959,0.00403197895775157,0.005590121846873551,0.08744312099821992,-0.028008297801169802,0.20921850606037862
Brd4,T10,3.5nM,0.004897499836590224,0.004550220325657517,0.0057398312847096525,0.004383425457170959,0.00405150135028496,0.005624414109734929,0.11258395769837425,-0.020146339841528978,0.2582165452619372
Brd4,T13,0.6nM,0.0046628458623477744,0.0042878693413509,0.005622279530758414,0.004367125241310398,0.004040784561971729,0.005124754869305638,0.08188487691354975,0.01105421504356424,0.1932176912958142
Brd4,T13,3.5nM,0.0050408984198315725,0.004459172695570921,0.005718525689367317,0.004367125241310398,0.003995077938732045,0.005121631444882975,0.13786695724205517,0.02879944125021027,0.28155090312538156
Brd4,T7,0.6nM,0.005097139102943554,0.004776083177730777,0.005639091461106616,0.005040845940817525,0.004575016157475695,0.00554604344982526,0.03692772756428714,-0.0386498030128344,0.11932723126194177
Brd4,T7,3.5nM,0.005056513206698112,0.004738609806698484,0.00563826498747348,0.005040845940817525,0.004575016157475695,0.00554604344982526,0.03218557005380193,-0.05095965668869546,0.05349126870713759
Btk,T10,0.6nM,0.005323272272346861,0.005154657206033581,0.00585704983756633,0.005320378583864064,0.004823779100923929,0.005769753785335974,0.04448956490419509,-0.0644327793596048,0.13551373610035797
Btk,T10,3.5nM,0.005393312056330442,0.005061749516220271,0.0059589477794188455,0.005320378583864064,0.004822138356425086,0.005806808692351451,0.006528404203428616,-0.07447467352124805,0.08215497677528372
Btk,T13,0.6nM,0.005438200236377258,0.005220391153307227,0.0060004651572099395,0.005277563617297953,0.004933169914169101,0.00572361215309798,0.07133685967273919,0.012734236809982452,0.11407386833537334
Btk,T13,3.5nM,0.005557290100605762,0.004962291376590183,0.005926076015811828,0.005277563617297953,0.004933169914169101,0.005696061033326178,0.053860938872854466,-0.006478458090557768,0.07805468480949761
Btk,T7,0.6nM,0.005436057898077313,0.0050975748503759395,0.00579173139486764,0.0053826977952482185,0.0050411694588220445,0.005763451309392322,-0.0008272995247071719,-0.0647970232687026,0.08505573961046001
Btk,T7,3.5nM,0.005335660727824155,0.0051098363344440415,0.005768309862567029,0.0053826977952482185,0.0050411694588220445,0.005763451309392322,-0.018726415277096484,-0.06210543969416811,0.07394067982398819
Ccna2,T10,0.6nM,0.005284835482563636,0.004890020073943143,0.00557134318528159,0.005659523896556577,0.005189370246935104,0.005716527976302281,-0.0530173214876458,-0.1583779723996904,0.023158579653740165
Ccna2,T10,3.5nM,0.00515284297968819,0.004764378464452701,0.005413428516110992,0.005659523896556577,0.00504706576966089,0.005719801948207873,-0.09192567028398783,-0.12622100598130206,-0.06619871484821489
Ccna2,T13,0.6nM,0.005349249548008502,0.005071695247165591,0.00548271823706275,0.005507886280526583,0.005192282030280718,0.0058113791318955945,-0.08441815585866158,-0.12097443106843524,-0.03773646040939586
Ccna2,T13,3.5nM,0.005154897499614085,0.0048443593737905934,0.005425949844334128,0.005507886280526583,0.00524197936336678,0.0058113791318955945,-0.11249262526337112,-0.16336559061055791,-0.06092068514520968
Ccna2,T7,0.6nM,0.005325923102042909,0.005002630254950552,0.0054799993141912305,0.005515768590836965,0.005151408171849526,0.005653641727486913,-0.04357777398926352,-0.08488873133149126,0.07867349515483857
Ccna2,T7,3.5nM,0.0053932997978127315,0.005212906780061982,0.005541865990947297,0.005515768590836965,0.005087568601237286,0.005653641727486913,-0.011321859256162787,-0.04907158266671627,0.04001212989636031
Ccnb1,T10,0.6nM,0.005189227514416559,0.005009367886913479,0.005519070353333813,0.005402776093956339,0.004762870624672401,0.005572879903813858,0.04846023393815844,-0.0971130999536059,0.08512217721409064
