shRNA_ID,Sample_Description,Mean_Proportion,Std_Proportion,CV
NT_01,T10_Dox_0.6nM,0.0006784596773424167,1.1690447278902689e-05,0.01723086525155798
NT_01,T10_Dox_3.5nM,0.0006928722611830695,2.6483607709959084e-06,0.0038222929670670754
NT_01,T10_Dox_Vehicle,0.0006729453867722501,2.776892679925365e-05,0.041264755424576076
NT_01,T13_Dox_0.6nM,0.000753011524043658,9.942727096262495e-06,0.013203950774710902
NT_01,T13_Dox_3.5nM,0.0006676177443698519,2.223274894984819e-05,0.033301614789812306
NT_01,T13_Dox_Vehicle,0.0006379443440636627,6.093986460961481e-06,0.009552536232460648
NT_01,T4_Dox_NoTx,0.0006460251018390865,2.38042288172252e-05,0.036847219635057486
NT_01,T7_Dox_0.6nM,0.0006684545856441089,2.6516974162232337e-06,0.003966907360906371
NT_01,T7_Dox_3.5nM,0.0006575491480494819,2.9603204245435564e-05,0.0450205195052703
NT_01,T7_Dox_Vehicle,0.000652802440364921,4.579414495224105e-06,0.007015008235361653
NT_01,T7_NoDox_NoTx,0.0006380561542831966,4.270374261031884e-05,0.06692787511515028
NT_02,T10_Dox_0.6nM,0.0008298034968021603,5.751102490936555e-06,0.006930679990021443
NT_02,T10_Dox_3.5nM,0.0009151401459706754,1.4655886291532501e-05,0.016014909143765323
NT_02,T10_Dox_Vehicle,0.0009166218200898442,6.321205720590545e-06,0.0068961981725145505
NT_02,T13_Dox_0.6nM,0.0009243467826889503,3.883260051936053e-05,0.0420108570145021
NT_02,T13_Dox_3.5nM,0.0009503544972712739,3.584645392564691e-05,0.03771903434831089
NT_02,T13_Dox_Vehicle,0.0009884745854264322,2.9799401504785145e-05,0.030146856524317776
NT_02,T4_Dox_NoTx,0.0009439624719077159,2.463476860261784e-05,0.0260971906572004
NT_02,T7_Dox_0.6nM,0.0009092838946791158,2.8558644192388716e-05,0.0314078412248432
NT_02,T7_Dox_3.5nM,0.0009411196033315222,5.1718586319819215e-05,0.054954318384972195
NT_02,T7_Dox_Vehicle,0.0009552229233102452,4.6706126783215867e-05,0.04889552547729873
NT_02,T7_NoDox_NoTx,0.0008753097411197113,1.9385999539299007e-05,0.02214758802352651
NT_03,T10_Dox_0.6nM,0.0003408560782077287,4.356397419897833e-05,0.12780753222311336
NT_03,T10_Dox_3.5nM,0.00031365747568066224,2.2457587690208447e-05,0.07159908317655639
NT_03,T10_Dox_Vehicle,0.0003393248023842994,2.771215497155204e-05,0.08166852165485644
NT_03,T13_Dox_0.6nM,0.0003254966306426578,3.124272037646562e-05,0.09598477352831658
NT_03,T13_Dox_3.5nM,0.00028683526285199455,8.632222365816283e-06,0.030094704116873046
NT_03,T13_Dox_Vehicle,0.00034706037971107503,2.228504277633475e-05,0.06421085228710598
NT_03,T4_Dox_NoTx,0.00031776341147551305,3.0084439295862665e-06,0.009467559262461211
NT_03,T7_Dox_0.6nM,0.0003130079251854388,1.146652827709286e-05,0.0366333480863132
NT_03,T7_Dox_3.5nM,0.00033050641164370935,2.815623544912213e-05,0.08519119283977751
NT_03,T7_Dox_Vehicle,0.0003199309083554327,2.973128879244685e-05,0.09293034219568547
NT_03,T7_NoDox_NoTx,0.00030071209167602573,1.70403550516839e-05,0.05666667727496122
NT_04,T10_Dox_0.6nM,0.000498168066783296,3.5644293946297695e-05,0.07155074024807581
NT_04,T10_Dox_3.5nM,0.000484126456417937,1.4512827601780263e-05,0.02997734870587535
NT_04,T10_Dox_Vehicle,0.0004928921982953326,1.8329885273776957e-05,0.03718842646966386
NT_04,T13_Dox_0.6nM,0.0004876632144077929,3.0499071603665333e-05,0.06254125942368384
NT_04,T13_Dox_3.5nM,0.00046713758205811553,1.1124386185601051e-05,0.023813939646194195
NT_04,T13_Dox_Vehicle,0.0005152836600388677,1.8315719726342685e-05,0.03554492631293827
NT_04,T4_Dox_NoTx,0.00044507046663733407,2.0597204577098503e-05,0.046278524685580066
NT_04,T7_Dox_0.6nM,0.0004995369608207307,1.7312293895522037e-05,0.034656682594773836
NT_04,T7_Dox_3.5nM,0.00046671751307083946,5.252354649491872e-05,0.11253819499793781
NT_04,T7_Dox_Vehicle,0.00047562463769691845,1.988214305906289e-05,0.041802172308265405
NT_04,T7_NoDox_NoTx,0.0004933428327725196,4.766730241935874e-06,0.00966210498112945
NT_05,T10_Dox_0.6nM,0.0006219327494797242,7.623046235711452e-05,0.12257026570941128
NT_05,T10_Dox_3.5nM,0.0005706887992324953,3.4446484447950103e-06,0.006035948925977923
NT_05,T10_Dox_Vehicle,0.0005809400234327105,2.5794482004952875e-05,0.04440128234328929
NT_05,T13_Dox_0.6nM,0.0006354447203239591,3.144736488432434e-05,0.04948874997071659
NT_05,T13_Dox_3.5nM,0.000632461219709503,2.7486085030721373e-05,0.04345892550273052
NT_05,T13_Dox_Vehicle,0.0006036094514626487,9.774573631498469e-06,0.016193539726412517
NT_05,T4_Dox_NoTx,0.0006203912834835524,2.439133064208946e-05,0.039316043425255694
NT_05,T7_Dox_0.6nM,0.0005752752134664601,1.0325618475702862e-05,0.01794900637815307
NT_05,T7_Dox_3.5nM,0.0006291051688185779,7.951607543691135e-05,0.1263955207779294
NT_05,T7_Dox_Vehicle,0.0006160064136170773,2.1356750840539652e-05,0.03466968909485326
NT_05,T7_NoDox_NoTx,0.0005950426076513447,2.0563576217472533e-05,0.03455815760595318
NT_06,T10_Dox_0.6nM,0.0004853498450634008,6.192553791869314e-05,0.12758948735340353
NT_06,T10_Dox_3.5nM,0.0004486673399492748,1.481128623521709e-05,0.03301173256090273
NT_06,T10_Dox_Vehicle,0.0004425893281643088,1.4594492229881493e-05,0.032975246579970335
NT_06,T13_Dox_0.6nM,0.0004380566949360381,3.5047176069659705e-05,0.08000602770099666
NT_06,T13_Dox_3.5nM,0.00044276511428554947,5.163568134838216e-05,0.11662093440153264
NT_06,T13_Dox_Vehicle,0.0004884462486478643,2.6540836178026095e-05,0.05433727099245303
NT_06,T4_Dox_NoTx,0.0004095797144316942,1.8989332653390064e-05,0.04636297156400534
NT_06,T7_Dox_0.6nM,0.000425786626336259,3.638718922442088e-05,0.08545874147696834
NT_06,T7_Dox_3.5nM,0.0004310242279570258,1.222305542313049e-05,0.028358163254686364
NT_06,T7_Dox_Vehicle,0.00041942448802852493,6.515823671113381e-06,0.015535153185119324
NT_06,T7_NoDox_NoTx,0.00041550310937305164,7.609412451928868e-06,0.018313731667160403
NT_07,T10_Dox_0.6nM,0.0006102193081966037,4.749832004501898e-05,0.07783811394856047
NT_07,T10_Dox_3.5nM,0.0006397573295185335,1.2261101860951912e-05,0.01916523859160681
NT_07,T10_Dox_Vehicle,0.0006226580229718988,3.9902557832202866e-05,0.06408422658998439
NT_07,T13_Dox_0.6nM,0.0006238835371599983,2.109909060700026e-05,0.03381895714550533
NT_07,T13_Dox_3.5nM,0.0006616068514264468,4.3660671868912426e-05,0.06599186779093738
NT_07,T13_Dox_Vehicle,0.0006209102512234463,1.7560014513908075e-05,0.02828108326333426
NT_07,T4_Dox_NoTx,0.0005694665287710585,6.7204681106220746e-06,0.011801339975371741
NT_07,T7_Dox_0.6nM,0.0005901643040526234,1.4030685806403874e-05,0.023774202726352618
NT_07,T7_Dox_3.5nM,0.0006189372568184894,7.09581397419004e-06,0.01146451259157432
NT_07,T7_Dox_Vehicle,0.000584772837339441,1.953730221777678e-05,0.03341007134781815
NT_07,T7_NoDox_NoTx,0.0005594614528079791,1.9097149387604416e-05,0.03413487969860012
NT_08,T10_Dox_0.6nM,0.00019513997458060178,5.996797586025154e-06,0.030730749037523323
NT_08,T10_Dox_3.5nM,0.00021764951403337705,4.1814018005579974e-06,0.019211629390161515
NT_08,T10_Dox_Vehicle,0.00019647050601169223,5.364372444727994e-06,0.02730370351063662
NT_08,T13_Dox_0.6nM,0.0002021609826393097,1.4107046875042252e-06,0.006978125398317673
NT_08,T13_Dox_3.5nM,0.00023130582778293444,2.2861233668399414e-06,0.009883552821614683
NT_08,T13_Dox_Vehicle,0.00019168707625656677,4.272131961688979e-05,0.22287010919666136
NT_08,T4_Dox_NoTx,0.0001930839535465572,1.8155204624830577e-05,0.09402751648366739
NT_08,T7_Dox_0.6nM,0.00019163918026899376,2.327167272416363e-06,0.012143483754991238
NT_08,T7_Dox_3.5nM,0.00019461022945146782,1.995391188803524e-06,0.010253269802043666
NT_08,T7_Dox_Vehicle,0.00021140266544227387,3.36362360752508e-05,0.15910980121693685
NT_08,T7_NoDox_NoTx,0.0001968284858813019,4.331912375340791e-06,0.022008564237765694
NT_09,T10_Dox_0.6nM,0.0009511984378155537,8.167193859062491e-05,0.08586214541960999
NT_09,T10_Dox_3.5nM,0.0009548763664259518,1.7442490191496826e-05,0.018266752434959805
NT_09,T10_Dox_Vehicle,0.0009709594407164802,3.3139923343057126e-05,0.03413110986242933
NT_09,T13_Dox_0.6nM,0.0009637347494786468,1.4801517971870925e-05,0.015358497740045305
NT_09,T13_Dox_3.5nM,0.0009626528649933313,2.1155134788064892e-05,0.021975870594029178
NT_09,T13_Dox_Vehicle,0.0010312564595216316,1.5172174407876704e-05,0.014712319392321297
NT_09,T4_Dox_NoTx,0.0009290805530640685,8.345753715016998e-06,0.008982809604068295
NT_09,T7_Dox_0.6nM,0.0008996076761276532,2.2443181037834204e-05,0.024947742925494495
NT_09,T7_Dox_3.5nM,0.0009476322215129897,4.833080185438126e-06,0.005100164468575826
NT_09,T7_Dox_Vehicle,0.0009041549785832092,4.192009511782201e-05,0.04636383818127051
NT_09,T7_NoDox_NoTx,0.0010235773068577266,1.5223198577071126e-05,0.014872544042427752
NT_10,T10_Dox_0.6nM,0.00018279600659033433,2.40071939196128e-06,0.013133325157050901
NT_10,T10_Dox_3.5nM,0.00016126058619907955,3.381649857476392e-06,0.02097009527983282
NT_10,T10_Dox_Vehicle,0.00019380125874442737,1.0041050878204213e-05,0.05181107152377016
NT_10,T13_Dox_0.6nM,0.00016106248118017802,5.9921458457231476e-06,0.03720385903542508
NT_10,T13_Dox_3.5nM,0.00015153335281698556,3.7257714906273047e-06,0.024587138219841976
NT_10,T13_Dox_Vehicle,0.00019263983939751572,4.82557004238141e-06,0.025049699259890684
NT_10,T4_Dox_NoTx,0.0001947959347133272,2.032898440084848e-05,0.10436041404439868
NT_10,T7_Dox_0.6nM,0.00017356226597743543,6.2077032893888324e-06,0.035766433760411304
NT_10,T7_Dox_3.5nM,0.00016226804082123298,8.807754559850669e-07,0.005427904666424101
NT_10,T7_Dox_Vehicle,0.00019788277422831658,3.056688848711883e-06,0.015446967835538247
NT_10,T7_NoDox_NoTx,0.0001987631756366886,2.3188547715556067e-07,0.001166642042283602
NT_100,T10_Dox_0.6nM,0.0005435556526298018,1.1318310335132074e-05,0.020822725843016133
NT_100,T10_Dox_3.5nM,0.0005209513261676738,5.1963735488992645e-06,0.009974777465537646
